Latitud ,Longitud,Magnitud
27.05995,-112.236859,21.112
27.426745,-112.525271,21.116
27.32849,-113.117066,21.31
27.001749,-113.44012,21.362
26.760309,-113.630706,21.24
26.808307,-113.720716,21.266
27.429893,-112.525015,21.442
27.226493,-112.208834,21.286
27.195549,-112.21232,21.366
23.872528,-110.197846,20.94
27.195547,-112.21232,21.12
23.551083,-109.982405,21.24
23.551083,-109.982405,21.24
23.550956,-109.983168,21.36
24.0194,-110.112975,20.84
23.836268,-110.051601,21.11
23.803418,-110.05707,20.88
23.801587,-110.107038,20.69
23.692592,-109.701243,20.67
23.558719,-109.676375,21.12
23.447744,-109.70361,21.17
23.317064,-109.725938,21.03
23.224231,-110.143802,21.18
23.053819,-110.094442,21.06
23.064812,-109.745366,19.8
23.549722,-109.817222,21.2
27.97477,-114.08111,20.86
27.99881,-114.08736,21.124
27.92763,-113.9383,21.48
27.42991,-112.52695,21.25
25.860642,-111.544228,21.01
25.860642,-111.544228,21.038
26.902031,-111.955992,20.88
26.885904,-111.987071,20.524
26.884796,-112.014529,21
26.988422,-112.060676,21.19
27.195553,-112.212326,21.104
26.0578776,-111.8131149,21.37
26.26172,111.96429,21.44
26.25867,-111.94444,21.39
26.23039,-112.00042,21.34
26.19034,-112.07551,21.04
27.337185,-112.269257,17.782
24.335494,-110.312149,21.1
24.003444,-110.292326,20
27.328799,-112.262564,19.59
25.8134,-111.31003,20.314
24.91298,-110.70173,22.058
24.335494,-110.313161,21.1
24.00389,-110.29197,20.05
23.861066,-110.171303,21.182
23.887135,-110.151807,21.25
27.339598,-112.269319,19.38
27.43029,-112.527501,21.72
27.22639,-112.210463,21.38
26.006472,-111.36232,19.53
25.995274,-111.371895,20.37
26.635348,-111.832895,21.538
26.717952,-111.9084,21.606
26.766875,-111.890298,21.616
26.784747,-111.861879,21.65
27.325407,-112.245315,20.512
27.194754,-112.212747,21.382
27.262684,-112.301405,21.296
27.326073,-112.248254,20.286
27.430074,-112.527372,21.646
26.714099,-111.904301,21.634
27.519394,-112.953208,21.542
27.556386,-112.901678,21.352
27.370637,-112.734701,21.468
24.903824,-110.709781,21.55
24.7616,-110667982,21.44
24.600551,-110.74558,21.46
27.226561,-112.208802,21.19
27.25615,-112.316545,21.126
26.90421,-111.956144,21.16
26.912815,-111.95871,21.22
26.855793,-111.909584,21.32
29.725509,-114.707674,20.848
27.226561,-112.2088,20.882
27.226561,-112.2088,21.124
26.83674,-113.144135,21.18
26.988885,-113.026964,21.28
27.297861,-112.894064,21.082
